n,SLF_CONF_RESP.keys_raw,order
1.0,,0.0

extraInfo
participant,teste
date,2023-06-23_17h20.56.656
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'right',0.1933111697435379,0.1933111697435379,0.0,0.0

extraInfo
participant,teste
date,2023-06-23_17h20.56.656
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'left',0.2233372926712036,0.2233372926712036,0.0,0.0

extraInfo
participant,teste
date,2023-06-23_17h20.56.656
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿n,SLF_CONF_RESP.keys_raw,SLF_CONF_RESP.rt_mean,SLF_CONF_RESP.rt_raw,SLF_CONF_RESP.rt_std,order
1.0,'left',0.21910129487514496,0.21910129487514496,0.0,0.0

extraInfo
participant,teste
date,2023-06-23_17h20.56.656
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
