slf_file,obs_file,test_file,slf_condition,slf_pair_pat,slf_order_pat,slf_conf_pat,slf_reward_left,slf_reward_right,BlockLoop.thisRepN,BlockLoop.thisTrialN,BlockLoop.thisN,BlockLoop.thisIndex,SlfSequence.thisRepN,SlfSequence.thisTrialN,SlfSequence.thisN,SlfSequence.thisIndex,SlfSkip.thisRepN,SlfSkip.thisTrialN,SlfSkip.thisN,SlfSkip.thisIndex,STANDBY_TEXT.started,STANDBY_RESP.started,STANDBY_RESP.keys,STANDBY_RESP.rt,SLF_INSTR.started,SLF_IMG_FIX.started,SLF_IMG_LEFT.started,SLF_IMG_RIGHT.started,SLF_IMG_RESP.started,SLF_IMG_RESP.keys,SLF_IMG_RESP.corr,SLF_IMG_RESP.rt,SLF_IMGFB_FIX.started,SLF_IMGFB_FRAME.started,SLF_IMGFB_IMG_LEFT.started,SLF_IMGFB_IMG_RIGHT.started,SLF_IMGFB_FIX.stopped,SLF_IMGFB_FRAME.stopped,SLF_IMGFB_IMG_LEFT.stopped,SLF_IMGFB_IMG_RIGHT.stopped,SLF_CONF_FIX.started,SLF_CONF_LOW_BOX.started,SLF_CONF_LOW_TEXT.started,SLF_CONF_HIGH_BOX.started,SLF_CONF_HIGH_TEXT.started,SLF_CONF_RESP.started,SLF_CONF_RESP.keys,SLF_CONF_RESP.rt,SLF_CONFFB_FIX.started,SLF_CONFFB_FRAME.started,SLF_CONFFB_LOW_BOX.started,SLF_CONFFB_LOW_TEXT.started,SLF_CONFFB_HIGH_BOX.started,SLF_CONFFB_HIGH_TEXT.started,SLF_CONFFB_FIX.stopped,SLF_CONFFB_FRAME.stopped,SLF_CONFFB_LOW_BOX.stopped,SLF_CONFFB_LOW_TEXT.stopped,SLF_CONFFB_HIGH_BOX.stopped,SLF_CONFFB_HIGH_TEXT.stopped,SLF_REWARD_FRAME.started,SLF_REWARD_IMG_LEFT.started,SLF_REWARD_IMG_RIGHT.started,SLF_REWARD_TEXT.started,SLF_REWARD_FRAME.stopped,SLF_REWARD_IMG_LEFT.stopped,SLF_REWARD_IMG_RIGHT.stopped,SLF_REWARD_TEXT.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,15.841857958002947,15.841857958002947,space,0.9247718330007046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,1,2,33,38,0,0,0,0,0,0,0,0,0,0,0,0,,,,,19.820889500027988,21.856777458044235,22.284008750051726,22.284008750051726,22.284008750051726,left,0,0.2992987079778686,22.73560350004118,22.73560350004118,22.73560350004118,22.73560350004118,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,23.739593750040513,right,0.41748758300673217,24.169904292037245,24.169904292037245,24.169904292037245,24.169904292037245,24.169904292037245,24.169904292037245,25.214639667014126,25.214639667014126,25.214639667014126,25.214639667014126,25.214639667014126,25.214639667014126,,,,,,,,,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,1,1,2,33,38,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.214639667014126,25.214639667014126,25.214639667014126,25.214639667014126,27.239630124997348,27.239630124997348,27.239630124997348,27.239630124997348,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,2,1,61,41,0,0,0,0,0,1,1,1,0,0,0,0,,,,,,27.239630124997348,27.715114874998108,27.715114874998108,27.715114874998108,left,0,0.3240877909702249,28.09802375000436,28.09802375000436,28.09802375000436,28.09802375000436,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,29.09436170803383,left,0.3628382919705473,29.47086883301381,29.47086883301381,29.47086883301381,29.47086883301381,29.47086883301381,29.47086883301381,30.51062549999915,30.51062549999915,30.51062549999915,30.51062549999915,30.51062549999915,30.51062549999915,,,,,,,,,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,2,1,61,41,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.51062549999915,30.51062549999915,30.51062549999915,30.51062549999915,32.571944917028304,32.571944917028304,32.571944917028304,32.571944917028304,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,2,51,24,0,0,0,0,0,2,2,2,0,0,0,0,,,,,,32.571944917028304,33.03246220800793,33.03246220800793,33.03246220800793,right,0,0.270794624928385,33.32959620800102,33.32959620800102,33.32959620800102,33.32959620800102,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,34.32779441704042,right,0.12235804094234481,34.46150012500584,34.46150012500584,34.46150012500584,34.46150012500584,34.46150012500584,34.46150012500584,35.48954700003378,35.48954700003378,35.48954700003378,35.48954700003378,35.48954700003378,35.48954700003378,,,,,,,,,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,3,1,2,51,24,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.48954700003378,35.48954700003378,35.48954700003378,35.48954700003378,37.51384062500438,37.51384062500438,37.51384062500438,37.51384062500438,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,1,1,32,49,0,0,0,0,0,3,3,3,0,0,0,0,,,,,,37.51384062500438,37.9950424170238,37.9950424170238,37.9950424170238,left,0,0.26717095798812807,38.2847521250369,38.2847521250369,38.2847521250369,38.2847521250369,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,39.278244042012375,left,0.23585400002775714,39.52846766699804,39.52846766699804,39.52846766699804,39.52846766699804,39.52846766699804,39.52846766699804,40.58321645803517,40.58321645803517,40.58321645803517,40.58321645803517,40.58321645803517,40.58321645803517,,,,,,,,,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
game1/slf11.xlsx,game1/obs11.xlsx,game1/test11.xlsx,0,2,1,1,32,49,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.58321645803517,40.58321645803517,40.58321645803517,40.58321645803517,42.63688154204283,42.63688154204283,42.63688154204283,42.63688154204283,testg,2023-06-26_13h27.45.287,Pattern_1,2022.2.4,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,42.63688154204283,43.098981750023086,43.098981750023086,43.098981750023086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
