slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,n,SLF_IMG_RESP.corr_mean,SLF_IMG_RESP.corr_raw,SLF_IMG_RESP.corr_std,SLF_IMG_RESP.keys_raw,order
0,1,1,30,40,1.0,0.0,0.0,0.0,,0.0
0,2,2,50,40,1.0,0.0,0.0,0.0,,1.0
0,3,1,50,30,1.0,0.0,0.0,0.0,,2.0
0,2,1,40,50,1.0,0.0,0.0,0.0,,3.0
0,1,2,40,30,1.0,0.0,0.0,0.0,,4.0
0,3,2,30,50,1.0,0.0,0.0,0.0,,5.0
0,1,1,30,40,1.0,0.0,0.0,0.0,,6.0
0,3,1,50,30,1.0,0.0,0.0,0.0,,7.0
0,2,2,50,40,1.0,0.0,0.0,0.0,,8.0

extraInfo
participant,testl
date,2023-06-23_19h20.04.187
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,n,SLF_IMG_RESP.corr_mean,SLF_IMG_RESP.corr_raw,SLF_IMG_RESP.corr_std,SLF_IMG_RESP.keys_raw,order
0,2,1,40,50,1.0,0.0,0.0,0.0,,0.0
0,3,2,30,50,1.0,0.0,0.0,0.0,,1.0
0,1,2,40,30,1.0,0.0,0.0,0.0,,2.0
0,3,1,50,30,1.0,0.0,0.0,0.0,,3.0
0,1,1,30,40,1.0,0.0,0.0,0.0,,4.0
0,2,2,50,40,1.0,0.0,0.0,0.0,,5.0
0,3,2,30,50,1.0,0.0,0.0,0.0,,6.0
0,2,1,40,50,1.0,0.0,0.0,0.0,,7.0
0,1,2,40,30,1.0,0.0,0.0,0.0,,8.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,9.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,10.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,11.0

extraInfo
participant,testl
date,2023-06-23_19h20.04.187
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,n,SLF_IMG_RESP.corr_mean,SLF_IMG_RESP.corr_raw,SLF_IMG_RESP.corr_std,SLF_IMG_RESP.keys_raw,order
0,1,2,40,30,1.0,0.0,0.0,0.0,,0.0
0,2,1,40,50,1.0,0.0,0.0,0.0,,1.0
0,3,2,30,50,1.0,0.0,0.0,0.0,,2.0
0,2,2,50,40,1.0,0.0,0.0,0.0,,3.0
0,1,1,30,40,1.0,0.0,0.0,0.0,,4.0
0,3,1,50,30,1.0,0.0,0.0,0.0,,5.0
0,1,2,40,30,1.0,0.0,0.0,0.0,,6.0
0,3,2,30,50,1.0,0.0,0.0,0.0,,7.0
0,2,1,40,50,1.0,0.0,0.0,0.0,,8.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,9.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,10.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,11.0

extraInfo
participant,testl
date,2023-06-23_19h20.04.187
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
﻿slf_condition,slf_pair_pat,slf_order_pat,slf_reward_left,slf_reward_right,n,SLF_IMG_RESP.corr_mean,SLF_IMG_RESP.corr_raw,SLF_IMG_RESP.corr_std,SLF_IMG_RESP.keys_raw,order
0,2,2,50,40,1.0,0.0,0.0,0.0,,0.0
0,3,1,50,30,1.0,0.0,0.0,0.0,,1.0
0,1,1,30,40,1.0,0.0,0.0,0.0,,2.0
0,3,2,30,50,1.0,0.0,0.0,0.0,,3.0
0,1,2,40,30,1.0,0.0,0.0,0.0,,4.0
0,2,1,40,50,1.0,0.0,0.0,0.0,,5.0
0,3,1,50,30,1.0,0.0,0.0,0.0,,6.0
0,2,2,50,40,1.0,0.0,0.0,0.0,,7.0
0,1,1,30,40,1.0,0.0,0.0,0.0,,8.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,9.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,10.0
None,None,None,None,None,1.0,0.0,0.0,0.0,,11.0

extraInfo
participant,testl
date,2023-06-23_19h20.04.187
expName,Pattern_1
psychopyVersion,2022.2.4
frameRate,None
